SaleItemID,SaleID,ProductID,Quantity,LineTotal
1,91063,PROD2811,3,131.58
2,84549,PROD2790,3,158.85
3,80449,PROD2747,4,259.4
4,121980,PROD2132,5,38.35
5,99384,PROD2513,5,13.6
6,69859,PROD2640,4,143.8
7,41364,PROD2728,4,375.16
8,73862,PROD2498,4,150.72
9,42390,PROD2851,3,240.09
10,70730,PROD2182,1,73.04
11,104692,PROD2653,3,135.72
12,127509,PROD2791,3,106.83
13,48663,PROD2587,1,16.75
14,110610,PROD2656,5,280.5
15,101738,PROD2472,3,13.08
16,37348,PROD2959,1,93.39
17,92329,PROD2998,5,382.3
18,117364,PROD2654,1,8.59
19,41524,PROD2213,1,5.16
20,37350,PROD2435,1,24.56
21,78953,PROD2108,2,21.28
22,73985,PROD2123,1,25.39
23,102934,PROD2261,3,189.87
24,114727,PROD2024,5,342.2
25,55093,PROD2593,3,278.7
26,53322,PROD2082,1,20.98
27,122092,PROD2330,4,181.88
28,111443,PROD2603,2,121.24
29,99535,PROD2176,2,70.2
30,54836,PROD2692,1,7.32
31,126954,PROD2872,4,350.76
32,63714,PROD2419,3,249.81
33,95630,PROD2981,3,42.3
34,54261,PROD2182,2,146.08
35,33089,PROD2556,2,13.44
36,49264,PROD2137,5,166.15
37,104264,PROD2410,1,17.16
38,50011,PROD2198,5,112.4
39,105341,PROD2720,1,64.85
40,31828,PROD2994,3,289.59
41,57721,PROD2483,1,84.9
42,80564,PROD2999,4,351.52
43,55505,PROD2271,5,379.9
44,82911,PROD2242,2,170.64
45,88495,PROD2906,2,186.86
46,36687,PROD2668,1,57.04
47,99595,PROD2378,5,79.9
48,84309,PROD2791,1,35.61
49,83325,PROD2805,2,123.24
50,79647,PROD2496,4,7.64
51,109663,PROD2914,2,74.86
52,96796,PROD2564,2,86
53,110067,PROD2665,2,7.46
54,122403,PROD2242,2,170.64
55,87721,PROD2575,1,48.87
56,78498,PROD2133,5,498.65
57,99504,PROD2611,4,19.84
58,117117,PROD2740,2,13.58
59,88678,PROD2753,1,89.21
60,66395,PROD2060,3,18.27
61,97933,PROD2562,2,33.82
62,66070,PROD2321,4,128.24
63,89457,PROD2097,1,96.92
64,50011,PROD2195,3,172.2
65,37100,PROD2499,1,78.08
66,79180,PROD2515,5,126.95
67,60799,PROD2788,5,467.2
68,32011,PROD2131,4,316.08
69,50732,PROD2399,3,268.08
70,117256,PROD2375,5,149.25
71,49749,PROD2415,4,323.72
72,73118,PROD2506,5,161.25
73,111567,PROD2273,3,167.94
74,92892,PROD2383,2,35.42
75,118762,PROD2592,4,206.4
76,34902,PROD2718,4,300.12
77,71610,PROD2335,4,162.16
78,43372,PROD2596,5,494.45
79,53619,PROD2992,1,15.35
80,123568,PROD2162,5,442.85
81,74091,PROD2543,5,446.2
82,51061,PROD2162,5,442.85
83,76350,PROD2157,5,277.7
84,113887,PROD2862,4,277.32
85,92799,PROD2116,1,53.14
86,106601,PROD2340,5,71
87,30754,PROD2173,1,33.39
88,99043,PROD2560,1,31.76
89,62626,PROD2403,5,206.25
90,85434,PROD2755,1,1.33
91,127578,PROD2827,4,130.04
92,74230,PROD2892,1,25.24
93,50178,PROD2855,4,124.04
94,113741,PROD2186,2,110.9
95,99033,PROD2451,5,43.9
96,103378,PROD2021,5,471.3
97,40079,PROD2070,3,261.78
98,51432,PROD2707,1,15
99,61577,PROD2633,2,122.32
100,71748,PROD2384,5,300.75
101,94786,PROD2690,5,403.55
102,75516,PROD2926,2,170.72
103,31192,PROD2273,3,167.94
104,122402,PROD2240,4,372.8
105,30055,PROD2493,2,72.62
106,64893,PROD2264,2,15.7
107,60227,PROD2677,2,45.68
108,32593,PROD2136,5,409.85
109,88519,PROD2309,1,97.43
110,118132,PROD2391,5,371.85
111,128024,PROD2376,4,170.96
112,63823,PROD2950,3,285.39
113,112389,PROD2664,1,53.96
114,110438,PROD2302,2,21.42
115,119884,PROD2751,2,143
116,74261,PROD2012,5,27.85
117,37017,PROD2172,2,51.62
118,116242,PROD2316,2,171.76
119,115900,PROD2014,5,44.9
120,125214,PROD2911,5,114.9
121,129153,PROD2524,2,74.78
122,77873,PROD2938,5,409.35
123,107277,PROD2646,1,42.63
124,112953,PROD2776,2,68.62
125,81944,PROD2255,4,142.44
126,45715,PROD2321,3,96.18
127,61217,PROD2718,3,225.09
128,100418,PROD2090,4,256.04
129,40160,PROD2993,2,43.46
130,119697,PROD2337,2,169.24
131,58616,PROD2999,1,87.88
132,96792,PROD2715,5,171.9
133,123645,PROD2321,5,160.3
134,77946,PROD2211,2,124.8
135,67579,PROD2335,1,40.54
136,49171,PROD2889,1,21.02
137,119396,PROD2933,2,195.62
138,59584,PROD2912,3,297.48
139,113286,PROD2089,1,36.72
140,40652,PROD2327,1,71.68
141,46441,PROD2287,4,114.44
142,124385,PROD2449,5,313.45
143,128079,PROD2598,4,343.88
144,53102,PROD2236,5,55.3
145,113088,PROD2103,5,192.45
146,56569,PROD2263,2,106.38
147,30261,PROD2768,2,174.08
148,68548,PROD2395,2,35.44
149,47341,PROD2600,5,153.6
150,74592,PROD2797,5,48.9
151,53575,PROD2864,4,194.48
152,96867,PROD2254,3,95.91
153,36093,PROD2653,4,180.96
154,89791,PROD2896,1,44.19
155,107499,PROD2728,5,468.95
156,105682,PROD2268,5,16.9
157,107041,PROD2870,1,41.74
158,37262,PROD2415,3,242.79
159,123179,PROD2704,1,86.66
160,49339,PROD2770,2,101.46
161,84096,PROD2476,2,196.24
162,122918,PROD2509,4,333.68
163,64036,PROD2407,4,194.44
164,118290,PROD2060,3,18.27
165,48746,PROD2146,3,149.37
166,63357,PROD2495,2,35.68
167,73771,PROD2899,3,237.27
168,122533,PROD2486,1,74.29
169,103683,PROD2682,2,59.22
170,45961,PROD2273,1,55.98
171,49114,PROD2683,4,191.08
172,50317,PROD2971,1,8.47
173,86878,PROD2073,1,98.65
174,71380,PROD2732,3,243.12
175,74551,PROD2600,1,30.72
176,112466,PROD2560,4,127.04
177,122357,PROD2462,5,441.7
178,99033,PROD2479,2,66.24
179,70766,PROD2917,1,30.8
180,91574,PROD2128,1,47.41
181,37311,PROD2875,4,368.64
182,89710,PROD2354,5,357.05
183,124397,PROD2048,1,97.49
184,65625,PROD2019,3,149.61
185,129923,PROD2723,2,103
186,96366,PROD2439,5,137.65
187,86765,PROD2214,3,267.24
188,104846,PROD2504,2,18.78
189,65343,PROD2116,4,212.56
190,78782,PROD2429,2,179.14
191,79441,PROD2621,1,81.95
192,63487,PROD2315,2,72.76
193,56874,PROD2743,4,45.4
194,111918,PROD2666,5,408
195,128460,PROD2213,1,5.16
196,93269,PROD2242,2,170.64
197,64203,PROD2054,1,70.23
198,73004,PROD2179,2,152.78
199,58301,PROD2950,1,95.13
200,62264,PROD2370,5,29.75
201,106616,PROD2342,5,164.4
202,46130,PROD2183,1,40.48
203,83939,PROD2364,1,93.04
204,73028,PROD2044,4,186
205,44245,PROD2032,5,174.4
206,31449,PROD2952,2,146.8
207,100606,PROD2856,3,215.52
208,36327,PROD2078,2,36.54
209,30204,PROD2413,3,22.44
210,62432,PROD2578,4,229.28
211,49658,PROD2463,3,210.24
212,127557,PROD2448,2,91.56
213,34523,PROD2560,4,127.04
214,51100,PROD2666,2,163.2
215,56561,PROD2290,4,367.12
216,56190,PROD2205,4,51.8
217,124972,PROD2944,2,131.72
218,51326,PROD2292,5,18.95
219,44672,PROD2525,3,231.9
220,118050,PROD2076,3,175.71
221,102013,PROD2287,3,85.83
222,76948,PROD2980,5,281.5
223,95374,PROD2283,1,25.29
224,50668,PROD2043,4,348.6
225,34125,PROD2196,4,187.84
226,30387,PROD2064,4,149
227,92743,PROD2138,1,59.11
228,109205,PROD2565,3,31.38
229,76439,PROD2019,2,99.74
230,68602,PROD2102,3,267.48
231,52651,PROD2884,1,50.6
232,35551,PROD2801,5,374.8
233,110099,PROD2778,3,49.44
234,74757,PROD2805,3,184.86
235,70733,PROD2298,4,305.6
236,89831,PROD2738,5,432.95
237,36332,PROD2909,5,141.7
238,35190,PROD2054,1,70.23
239,81703,PROD2278,1,8.03
240,81951,PROD2598,3,257.91
241,42001,PROD2559,2,22.56
242,49512,PROD2376,1,42.74
243,42781,PROD2848,1,61.27
244,48286,PROD2406,3,33.9
245,39117,PROD2249,2,64.44
246,40828,PROD2557,3,131.7
247,40600,PROD2547,1,26.9
248,59566,PROD2361,2,127.46
249,117822,PROD2213,2,10.32
250,92468,PROD2182,5,365.2
251,39416,PROD2467,2,141.48
252,119289,PROD2358,1,33.15
253,113759,PROD2415,5,404.65
254,79448,PROD2854,5,21.05
255,68257,PROD2959,3,280.17
256,36251,PROD2129,5,374.2
257,75621,PROD2281,2,50.22
258,53830,PROD2325,5,270.25
259,78988,PROD2255,5,178.05
260,106148,PROD2956,4,320.6
261,85634,PROD2689,1,64.44
262,108185,PROD2884,2,101.2
263,108078,PROD2160,2,72.5
264,95291,PROD2608,3,232.98
265,44295,PROD2611,4,19.84
266,129294,PROD2231,3,263.88
267,56806,PROD2235,5,48.9
268,49577,PROD2501,1,98.27
269,83685,PROD2940,1,70.91
270,40578,PROD2565,3,31.38
271,80522,PROD2504,1,9.39
272,61279,PROD2773,1,79.35
273,85201,PROD2675,5,273.05
274,81559,PROD2931,1,7.09
275,95370,PROD2031,2,92.04
276,103704,PROD2588,1,80.77
277,97175,PROD2090,2,128.02
278,73379,PROD2779,5,433.6
279,103277,PROD2588,5,403.85
280,89858,PROD2453,3,120
281,60419,PROD2496,2,3.82
282,96171,PROD2499,4,312.32
283,36709,PROD2401,5,354.05
284,39729,PROD2989,2,89.16
285,41822,PROD2950,1,95.13
286,37708,PROD2130,3,197.64
287,124543,PROD2337,1,84.62
288,127150,PROD2959,1,93.39
289,112729,PROD2326,4,21.56
290,88898,PROD2231,3,263.88
291,79931,PROD2278,4,32.12
292,37826,PROD2355,1,45.52
293,93756,PROD2589,4,301.28
294,101093,PROD2969,3,83.67
295,121230,PROD2322,4,59.6
296,82295,PROD2641,1,88.51
297,66574,PROD2490,4,100.32
298,33904,PROD2586,3,153.42
299,121326,PROD2504,5,46.95
300,94247,PROD2941,5,81.25
301,99237,PROD2991,3,250.95
302,72545,PROD2082,4,83.92
303,37552,PROD2993,4,86.92
304,78233,PROD2034,3,52.89
305,101773,PROD2043,3,261.45
306,87278,PROD2592,1,51.6
307,96985,PROD2156,2,89.66
308,95403,PROD2825,1,25.66
309,78594,PROD2006,4,216.76
310,75667,PROD2547,3,80.7
311,88954,PROD2382,3,270.99
312,70914,PROD2559,3,33.84
313,89078,PROD2857,2,190.36
314,77949,PROD2802,5,199.7
315,78848,PROD2045,3,8.73
316,73405,PROD2861,4,25.8
317,122099,PROD2751,4,286
318,74613,PROD2335,5,202.7
319,61815,PROD2372,2,113.9
320,35054,PROD2866,5,36.05
321,46835,PROD2797,4,39.12
322,128793,PROD2048,4,389.96
323,38189,PROD2390,3,60.09
324,104844,PROD2414,3,68.22
325,109554,PROD2063,3,120.75
326,75975,PROD2893,1,20.09
327,93359,PROD2781,5,127.3
328,31653,PROD2210,3,160.29
329,114959,PROD2165,4,106.64
330,46435,PROD2900,5,120.8
331,36047,PROD2091,3,278.88
332,113008,PROD2820,2,30.86
333,88795,PROD2346,4,100.52
334,30966,PROD2286,3,222.03
335,69716,PROD2467,3,212.22
336,42353,PROD2802,2,79.88
337,51681,PROD2621,3,245.85
338,55252,PROD2293,4,248.24
339,38616,PROD2721,5,55.75
340,58448,PROD2041,4,73.44
341,110589,PROD2290,2,183.56
342,40336,PROD2819,3,149.85
343,101008,PROD2317,3,241.29
344,119940,PROD2168,3,200.1
345,56036,PROD2608,5,388.3
346,63424,PROD2510,2,151.94
347,46572,PROD2453,3,120
348,77055,PROD2919,2,101.06
