SaleID,Date,StoreID,StaffID,CustomerID
30001,04/12/2023,STORE02,STAFF1039,CUST12775
30002,10/01/2024,STORE05,STAFF1023,CUST19998
30003,07/11/2023,STORE04,STAFF1004,CUST17300
30004,26/01/2024,STORE09,STAFF1041,CUST16077
30005,23/06/2024,STORE02,STAFF1006,CUST13598
30006,24/07/2023,STORE04,STAFF1049,CUST14420
30007,13/04/2024,STORE03,STAFF1009,CUST16531
30008,21/04/2023,STORE04,STAFF1008,CUST13230
30009,13/05/2024,STORE04,STAFF1004,CUST16732
30010,27/05/2024,STORE09,STAFF1046,CUST12952
30011,24/07/2023,STORE02,STAFF1035,CUST16402
30012,24/07/2023,STORE04,STAFF1049,CUST13763
30013,03/03/2024,STORE03,STAFF1014,CUST19192
30014,28/04/2023,STORE09,STAFF1018,CUST11771
30015,10/05/2024,STORE01,STAFF1003,CUST15632
30016,29/06/2023,STORE05,STAFF1050,CUST10509
30017,16/02/2024,STORE08,STAFF1025,CUST14599
30018,28/01/2024,STORE05,STAFF1023,CUST17706
30019,24/08/2023,STORE07,STAFF1022,CUST14314
30020,20/09/2023,STORE10,STAFF1045,CUST17785
30021,20/02/2024,STORE07,STAFF1005,CUST17849
30022,18/08/2023,STORE04,STAFF1049,CUST13034
30023,03/05/2024,STORE10,STAFF1043,CUST19457
30024,15/03/2024,STORE01,STAFF1003,CUST18746
30025,03/07/2023,STORE08,STAFF1029,CUST12368
30026,03/05/2024,STORE10,STAFF1045,CUST14879
30027,03/06/2023,STORE02,STAFF1035,CUST14417
30028,19/02/2023,STORE06,STAFF1032,CUST16261
30029,14/04/2023,STORE06,STAFF1013,CUST16892
30030,09/01/2024,STORE02,STAFF1039,CUST10675
30031,09/04/2023,STORE07,STAFF1017,CUST16949
30032,31/08/2023,STORE02,STAFF1006,CUST19743
30033,25/08/2023,STORE02,STAFF1037,CUST19187
30034,11/05/2023,STORE07,STAFF1040,CUST18769
30035,06/01/2024,STORE01,STAFF1003,CUST10708
30036,07/05/2023,STORE02,STAFF1039,CUST12901
30037,19/08/2023,STORE01,STAFF1003,CUST17597
30038,13/10/2023,STORE10,STAFF1045,CUST11925
30039,11/01/2023,STORE08,STAFF1025,CUST10974
30040,03/02/2023,STORE05,STAFF1042,CUST16319
30041,13/07/2023,STORE02,STAFF1039,CUST12220
30042,30/04/2024,STORE05,STAFF1023,CUST17110
30043,23/04/2023,STORE05,STAFF1033,CUST16238
30044,10/06/2023,STORE04,STAFF1004,CUST10477
30045,27/03/2024,STORE02,STAFF1039,CUST10863
30046,07/11/2023,STORE07,STAFF1048,CUST17309
30047,06/02/2024,STORE03,STAFF1021,CUST14756
30048,15/05/2023,STORE07,STAFF1005,CUST18056
30049,06/06/2023,STORE10,STAFF1043,CUST16983
30050,16/04/2023,STORE04,STAFF1049,CUST17009
30051,28/01/2023,STORE06,STAFF1015,CUST15053
30052,19/08/2023,STORE08,STAFF1012,CUST10439
30053,01/10/2023,STORE06,STAFF1020,CUST14542
30054,02/06/2024,STORE04,STAFF1008,CUST11182
30055,06/09/2023,STORE10,STAFF1026,CUST11456
30056,29/08/2023,STORE08,STAFF1025,CUST14780
30057,19/04/2024,STORE08,STAFF1002,CUST18912
30058,08/04/2023,STORE08,STAFF1036,CUST10403
30059,02/02/2023,STORE06,STAFF1044,CUST18613
30060,20/04/2024,STORE10,STAFF1007,CUST13864
30061,18/02/2024,STORE09,STAFF1010,CUST19799
30062,25/03/2024,STORE01,STAFF1003,CUST10170
30063,11/04/2024,STORE02,STAFF1039,CUST12569
30064,02/05/2024,STORE05,STAFF1023,CUST19172
30065,26/02/2024,STORE06,STAFF1044,CUST13903
30066,08/01/2023,STORE06,STAFF1030,CUST11102
30067,07/04/2023,STORE03,STAFF1009,CUST17581
30068,14/05/2024,STORE01,STAFF1003,CUST16713
30069,02/03/2023,STORE05,STAFF1042,CUST12479
30070,22/07/2023,STORE09,STAFF1041,CUST12676
30071,10/05/2023,STORE08,STAFF1001,CUST11881
30072,25/01/2024,STORE03,STAFF1014,CUST18752
30073,10/05/2023,STORE07,STAFF1048,CUST12611
30074,22/03/2024,STORE03,STAFF1021,CUST17633
30075,19/08/2023,STORE03,STAFF1014,CUST13997
30076,18/04/2023,STORE06,STAFF1030,CUST15991
30077,05/10/2023,STORE06,STAFF1032,CUST13904
30078,27/01/2024,STORE08,STAFF1027,CUST14007
30079,25/10/2023,STORE01,STAFF1003,CUST18098
30080,08/03/2023,STORE09,STAFF1018,CUST18693
30081,01/10/2023,STORE05,STAFF1050,CUST13065
30082,06/03/2023,STORE03,STAFF1047,CUST13997
30083,23/04/2024,STORE03,STAFF1021,CUST17384
30084,02/03/2023,STORE01,STAFF1003,CUST11487
30085,15/08/2023,STORE02,STAFF1035,CUST17138
30086,29/02/2024,STORE01,STAFF1003,CUST18946
30087,27/03/2023,STORE03,STAFF1014,CUST11896
30088,19/03/2024,STORE02,STAFF1039,CUST17075
30089,21/03/2023,STORE02,STAFF1035,CUST11815
