InventoryID,ProductID,StoreID,Quantity,RestockDate
1,PROD2001,STORE01,43,2023-08-08
2,PROD2002,STORE01,21,2024-06-21
3,PROD2003,STORE01,76,2023-01-23
4,PROD2004,STORE01,56,2024-06-04
5,PROD2005,STORE01,24,2023-09-16
6,PROD2006,STORE01,83,2024-05-03
7,PROD2007,STORE01,81,2024-01-11
8,PROD2008,STORE01,94,2023-04-17
9,PROD2009,STORE01,37,2023-12-08
10,PROD2010,STORE01,92,2024-03-19
11,PROD2011,STORE01,68,2023-05-14
12,PROD2012,STORE01,63,2024-02-29
13,PROD2013,STORE01,93,2023-02-09
14,PROD2014,STORE01,51,2024-06-09
15,PROD2015,STORE01,98,2023-06-15
16,PROD2016,STORE01,59,2024-04-17
17,PROD2017,STORE01,6,2024-01-28
18,PROD2018,STORE01,41,2023-03-26
19,PROD2019,STORE01,43,2023-11-13
20,PROD2020,STORE01,80,2023-04-10
21,PROD2021,STORE01,91,2024-01-04
22,PROD2022,STORE01,90,2023-07-06
23,PROD2023,STORE01,83,2023-04-14
24,PROD2024,STORE01,72,2024-04-04
25,PROD2025,STORE01,54,2023-09-21
26,PROD2026,STORE01,19,2024-06-12
27,PROD2027,STORE01,26,2023-06-17
28,PROD2028,STORE01,64,2024-01-31
29,PROD2029,STORE01,34,2024-04-20
30,PROD2030,STORE01,61,2024-02-03
31,PROD2031,STORE01,97,2024-05-20
32,PROD2032,STORE01,92,2023-08-14
33,PROD2033,STORE01,31,2024-01-06
34,PROD2034,STORE01,27,2024-02-05
35,PROD2035,STORE01,24,2024-03-01
36,PROD2036,STORE01,68,2023-07-27
37,PROD2037,STORE01,86,2023-08-01
38,PROD2038,STORE01,8,2024-02-15
39,PROD2039,STORE01,89,2023-12-15
40,PROD2040,STORE01,27,2023-05-22
41,PROD2041,STORE01,86,2024-03-16
42,PROD2042,STORE01,35,2024-04-07
43,PROD2043,STORE01,40,2024-02-27
44,PROD2044,STORE01,97,2023-04-01
45,PROD2045,STORE01,12,2023-09-04
46,PROD2046,STORE01,37,2023-04-28
47,PROD2047,STORE01,74,2024-06-28
48,PROD2048,STORE01,47,2023-05-19
49,PROD2049,STORE01,31,2023-11-18
50,PROD2050,STORE01,45,2023-06-27
51,PROD2051,STORE01,87,2023-02-20
52,PROD2052,STORE01,14,2023-02-01
53,PROD2053,STORE01,1,2023-02-24
54,PROD2054,STORE01,44,2024-03-12
55,PROD2055,STORE01,75,2023-07-19
56,PROD2056,STORE01,6,2023-04-21
57,PROD2057,STORE01,100,2023-12-31
58,PROD2058,STORE01,67,2024-03-10
59,PROD2059,STORE01,53,2023-01-07
60,PROD2060,STORE01,4,2023-10-24
61,PROD2061,STORE01,90,2024-03-07
62,PROD2062,STORE01,89,2024-02-03
63,PROD2063,STORE01,54,2023-05-18
64,PROD2064,STORE01,53,2023-09-11
65,PROD2065,STORE01,88,2023-03-11
66,PROD2066,STORE01,67,2024-05-03
67,PROD2067,STORE01,98,2024-04-16
68,PROD2068,STORE01,58,2023-10-30
69,PROD2069,STORE01,8,2023-12-06
70,PROD2070,STORE01,87,2024-02-09
71,PROD2071,STORE01,75,2024-01-11
72,PROD2072,STORE01,40,2023-08-18
73,PROD2073,STORE01,1,2024-06-11
74,PROD2074,STORE01,1,2023-08-30
75,PROD2075,STORE01,54,2023-06-15
76,PROD2076,STORE01,7,2024-01-08
77,PROD2077,STORE01,77,2024-03-15
78,PROD2078,STORE01,51,2024-03-29
79,PROD2079,STORE01,89,2023-10-14
80,PROD2080,STORE01,79,2023-06-04
81,PROD2081,STORE01,96,2023-03-25
82,PROD2082,STORE01,7,2023-02-12
83,PROD2083,STORE01,28,2023-08-03
84,PROD2084,STORE01,42,2023-09-19
85,PROD2085,STORE01,35,2023-11-10
86,PROD2086,STORE01,41,2024-02-01
87,PROD2087,STORE01,41,2023-03-06
88,PROD2088,STORE01,81,2023-06-02
89,PROD2089,STORE01,35,2023-12-12
90,PROD2090,STORE01,67,2024-04-07
91,PROD2091,STORE01,72,2024-04-19
92,PROD2092,STORE01,38,2023-05-10
93,PROD2093,STORE01,100,2023-01-19
94,PROD2094,STORE01,22,2023-10-20
95,PROD2095,STORE01,71,2023-02-26
96,PROD2096,STORE01,61,2023-06-09
97,PROD2097,STORE01,37,2024-04-13
98,PROD2098,STORE01,15,2023-05-27
99,PROD2099,STORE01,88,2023-02-01
100,PROD2100,STORE01,13,2024-05-01
101,PROD2101,STORE01,92,2023-06-13
102,PROD2102,STORE01,33,2023-11-26
103,PROD2103,STORE01,93,2023-11-25
104,PROD2104,STORE01,64,2024-05-21
105,PROD2105,STORE01,62,2023-03-10
106,PROD2106,STORE01,18,2023-08-07
107,PROD2107,STORE01,69,2023-04-01
108,PROD2108,STORE01,7,2023-11-18
109,PROD2109,STORE01,68,2023-07-14
110,PROD2110,STORE01,70,2023-08-23
111,PROD2111,STORE01,93,2023-05-17
112,PROD2112,STORE01,80,2024-03-19
113,PROD2113,STORE01,31,2023-01-25
114,PROD2114,STORE01,83,2023-01-11
115,PROD2115,STORE01,39,2024-03-08
116,PROD2116,STORE01,58,2023-03-01
117,PROD2117,STORE01,7,2023-02-20
118,PROD2118,STORE01,11,2024-04-06
119,PROD2119,STORE01,15,2023-01-20
120,PROD2120,STORE01,19,2023-11-24
121,PROD2121,STORE01,23,2023-07-26
122,PROD2122,STORE01,27,2023-09-17
123,PROD2123,STORE01,74,2023-11-27
124,PROD2124,STORE01,6,2023-08-11
125,PROD2125,STORE01,74,2023-10-16
126,PROD2126,STORE01,100,2023-09-20
127,PROD2127,STORE01,10,2023-12-21
128,PROD2128,STORE01,35,2024-02-13
129,PROD2129,STORE01,34,2023-02-09
130,PROD2130,STORE01,67,2023-02-24
131,PROD2131,STORE01,54,2024-03-21
132,PROD2132,STORE01,25,2023-12-26
133,PROD2133,STORE01,72,2023-11-13
134,PROD2134,STORE01,93,2023-02-14
135,PROD2135,STORE01,83,2024-03-29
136,PROD2136,STORE01,68,2023-02-11
137,PROD2137,STORE01,23,2023-06-02
138,PROD2138,STORE01,92,2023-06-10
139,PROD2139,STORE01,70,2023-10-26
140,PROD2140,STORE01,38,2024-01-23
141,PROD2141,STORE01,12,2023-10-27
142,PROD2142,STORE01,2,2023-04-20
143,PROD2143,STORE01,97,2023-12-04
144,PROD2144,STORE01,45,2023-03-08
145,PROD2145,STORE01,3,2023-12-02
146,PROD2146,STORE01,94,2024-04-23
147,PROD2147,STORE01,95,2023-08-18
148,PROD2148,STORE01,65,2023-06-17
149,PROD2149,STORE01,75,2023-11-20
150,PROD2150,STORE01,30,2023-04-24
151,PROD2151,STORE01,65,2023-09-11
152,PROD2152,STORE01,59,2024-04-01
153,PROD2153,STORE01,4,2023-11-19
154,PROD2154,STORE01,31,2024-01-18
155,PROD2155,STORE01,95,2024-03-08
156,PROD2156,STORE01,22,2023-05-06
157,PROD2157,STORE01,54,2024-01-24
158,PROD2158,STORE01,40,2023-07-27
159,PROD2159,STORE01,19,2024-02-19
160,PROD2160,STORE01,29,2023-06-30
161,PROD2161,STORE01,85,2023-05-18
162,PROD2162,STORE01,63,2023-06-19
163,PROD2163,STORE01,46,2024-05-01
164,PROD2164,STORE01,27,2023-08-03
165,PROD2165,STORE01,31,2023-03-06
166,PROD2166,STORE01,16,2024-04-26
167,PROD2167,STORE01,67,2023-02-01
168,PROD2168,STORE01,22,2023-04-09
169,PROD2169,STORE01,12,2023-08-27
170,PROD2170,STORE01,73,2023-10-30
171,PROD2171,STORE01,93,2024-05-17
172,PROD2172,STORE01,24,2023-07-26
173,PROD2173,STORE01,86,2023-04-11
174,PROD2174,STORE01,35,2024-01-22
175,PROD2175,STORE01,19,2023-11-11
176,PROD2176,STORE01,98,2023-08-02
177,PROD2177,STORE01,50,2023-08-02
178,PROD2178,STORE01,74,2023-12-21
179,PROD2179,STORE01,61,2023-03-14
180,PROD2180,STORE01,97,2023-08-04
181,PROD2181,STORE01,58,2023-05-21
182,PROD2182,STORE01,53,2023-05-10
183,PROD2183,STORE01,38,2023-09-15
184,PROD2184,STORE01,43,2023-12-27
185,PROD2185,STORE01,55,2024-01-08
186,PROD2186,STORE01,79,2024-04-15
187,PROD2187,STORE01,89,2024-03-12
188,PROD2188,STORE01,76,2024-04-05
189,PROD2189,STORE01,32,2023-11-19
190,PROD2190,STORE01,58,2023-05-25
191,PROD2191,STORE01,72,2023-10-29
192,PROD2192,STORE01,30,2023-10-30
193,PROD2193,STORE01,52,2023-01-14
194,PROD2194,STORE01,96,2024-05-11
195,PROD2195,STORE01,84,2023-02-07
196,PROD2196,STORE01,28,2024-02-03
197,PROD2197,STORE01,5,2024-02-13
198,PROD2198,STORE01,8,2024-02-24
199,PROD2199,STORE01,61,2023-09-29
200,PROD2200,STORE01,94,2023-10-21
201,PROD2201,STORE01,94,2023-09-09
202,PROD2202,STORE01,76,2024-04-18
203,PROD2203,STORE01,75,2023-11-17
204,PROD2204,STORE01,10,2024-03-27
205,PROD2205,STORE01,91,2023-09-10
206,PROD2206,STORE01,90,2023-03-19
207,PROD2207,STORE01,0,2024-03-18
208,PROD2208,STORE01,36,2024-02-07
209,PROD2209,STORE01,14,2024-05-18
210,PROD2210,STORE01,28,2023-09-01
211,PROD2211,STORE01,93,2023-06-27
212,PROD2212,STORE01,52,2023-10-15
213,PROD2213,STORE01,54,2023-05-24
214,PROD2214,STORE01,14,2023-11-05
215,PROD2215,STORE01,75,2023-11-03
216,PROD2216,STORE01,51,2024-06-14
217,PROD2217,STORE01,79,2023-01-13
218,PROD2218,STORE01,53,2024-03-27
219,PROD2219,STORE01,13,2023-10-19
220,PROD2220,STORE01,8,2023-04-02
221,PROD2221,STORE01,10,2023-03-03
222,PROD2222,STORE01,36,2023-12-07
223,PROD2223,STORE01,30,2024-02-04
224,PROD2224,STORE01,100,2023-06-04
225,PROD2225,STORE01,83,2023-08-30
226,PROD2226,STORE01,27,2024-03-25
227,PROD2227,STORE01,94,2023-01-11
228,PROD2228,STORE01,30,2023-07-13
229,PROD2229,STORE01,65,2023-05-02
230,PROD2230,STORE01,88,2023-12-10
231,PROD2231,STORE01,85,2024-02-18
232,PROD2232,STORE01,8,2024-02-28
233,PROD2233,STORE01,35,2023-06-18
234,PROD2234,STORE01,55,2023-12-26
235,PROD2235,STORE01,32,2024-02-28
236,PROD2236,STORE01,37,2023-11-18
237,PROD2237,STORE01,4,2023-07-03
238,PROD2238,STORE01,53,2023-06-18
239,PROD2239,STORE01,6,2024-01-30
240,PROD2240,STORE01,81,2024-03-24
241,PROD2241,STORE01,24,2023-06-18
242,PROD2242,STORE01,63,2023-07-30
243,PROD2243,STORE01,47,2023-08-24
244,PROD2244,STORE01,50,2023-07-10
245,PROD2245,STORE01,52,2023-09-19
246,PROD2246,STORE01,11,2024-05-30
247,PROD2247,STORE01,14,2024-05-13
248,PROD2248,STORE01,57,2023-08-14
249,PROD2249,STORE01,45,2023-10-03
250,PROD2250,STORE01,32,2024-05-11
251,PROD2251,STORE01,6,2024-01-17
252,PROD2252,STORE01,8,2023-08-21
253,PROD2253,STORE01,63,2024-06-27
254,PROD2254,STORE01,18,2023-05-29
255,PROD2255,STORE01,97,2023-07-18
256,PROD2256,STORE01,97,2024-03-06
257,PROD2257,STORE01,68,2023-07-30
258,PROD2258,STORE01,44,2023-08-02
259,PROD2259,STORE01,19,2023-03-19
260,PROD2260,STORE01,70,2024-04-16
261,PROD2261,STORE01,48,2023-07-12
262,PROD2262,STORE01,93,2023-09-26
263,PROD2263,STORE01,34,2023-11-16
264,PROD2264,STORE01,61,2024-06-16
265,PROD2265,STORE01,52,2023-10-09
266,PROD2266,STORE01,39,2023-08-18
267,PROD2267,STORE01,59,2023-05-09
268,PROD2268,STORE01,83,2023-04-10
269,PROD2269,STORE01,37,2024-05-31
270,PROD2270,STORE01,78,2023-04-12
271,PROD2271,STORE01,73,2024-02-23
272,PROD2272,STORE01,79,2023-06-04
273,PROD2273,STORE01,33,2023-06-10
274,PROD2274,STORE01,24,2023-01-31
275,PROD2275,STORE01,39,2024-05-17
276,PROD2276,STORE01,84,2023-10-09
277,PROD2277,STORE01,25,2023-07-10
278,PROD2278,STORE01,89,2023-04-18
279,PROD2279,STORE01,90,2024-02-13
280,PROD2280,STORE01,82,2024-06-20
281,PROD2281,STORE01,40,2023-12-14
282,PROD2282,STORE01,15,2023-07-21
283,PROD2283,STORE01,80,2023-01-05
284,PROD2284,STORE01,68,2023-05-11
285,PROD2285,STORE01,73,2023-10-08
286,PROD2286,STORE01,30,2023-03-03
287,PROD2287,STORE01,78,2024-01-23
288,PROD2288,STORE01,76,2024-04-27
289,PROD2289,STORE01,74,2023-11-07
290,PROD2290,STORE01,60,2024-05-23
291,PROD2291,STORE01,52,2024-01-03
292,PROD2292,STORE01,21,2024-01-10
293,PROD2293,STORE01,96,2023-05-08
294,PROD2294,STORE01,72,2023-07-07
295,PROD2295,STORE01,41,2023-09-21
296,PROD2296,STORE01,47,2023-12-10
297,PROD2297,STORE01,0,2024-06-29
298,PROD2298,STORE01,18,2023-11-16
299,PROD2299,STORE01,5,2023-03-21
300,PROD2300,STORE01,61,2024-04-22
301,PROD2301,STORE01,70,2024-05-17
302,PROD2302,STORE01,42,2023-11-28
303,PROD2303,STORE01,97,2024-03-06
304,PROD2304,STORE01,97,2023-10-28
305,PROD2305,STORE01,90,2024-04-02
306,PROD2306,STORE01,57,2024-05-21
307,PROD2307,STORE01,10,2023-01-15
308,PROD2308,STORE01,7,2023-06-17
309,PROD2309,STORE01,45,2023-09-03
310,PROD2310,STORE01,45,2024-01-06
311,PROD2311,STORE01,40,2023-11-19
312,PROD2312,STORE01,17,2023-12-25
313,PROD2313,STORE01,43,2023-07-01
314,PROD2314,STORE01,30,2023-04-16
315,PROD2315,STORE01,27,2023-01-01
316,PROD2316,STORE01,73,2023-08-09
317,PROD2317,STORE01,29,2023-02-15
318,PROD2318,STORE01,19,2023-12-19
319,PROD2319,STORE01,54,2024-04-29
320,PROD2320,STORE01,23,2023-09-17
321,PROD2321,STORE01,93,2024-05-24
322,PROD2322,STORE01,95,2023-12-07
323,PROD2323,STORE01,56,2023-09-20
324,PROD2324,STORE01,18,2023-11-10
325,PROD2325,STORE01,94,2024-01-29
326,PROD2326,STORE01,8,2023-01-10
327,PROD2327,STORE01,38,2023-03-06
328,PROD2328,STORE01,10,2024-01-24
329,PROD2329,STORE01,8,2024-06-12
330,PROD2330,STORE01,48,2024-02-25
331,PROD2331,STORE01,28,2023-09-14
332,PROD2332,STORE01,22,2023-03-06
333,PROD2333,STORE01,72,2024-05-31
334,PROD2334,STORE01,34,2023-06-15
335,PROD2335,STORE01,53,2023-08-28
336,PROD2336,STORE01,14,2023-05-27
337,PROD2337,STORE01,38,2024-04-13
338,PROD2338,STORE01,79,2023-05-28
339,PROD2339,STORE01,95,2023-07-03
340,PROD2340,STORE01,62,2024-06-08
341,PROD2341,STORE01,46,2023-02-25
342,PROD2342,STORE01,77,2023-04-04
343,PROD2343,STORE01,77,2023-12-02
344,PROD2344,STORE01,56,2023-11-14
345,PROD2345,STORE01,65,2023-12-07
346,PROD2346,STORE01,40,2023-01-10
347,PROD2347,STORE01,15,2023-05-06
348,PROD2348,STORE01,56,2023-05-16
349,PROD2349,STORE01,2,2024-03-29
350,PROD2350,STORE01,5,2023-07-28
351,PROD2351,STORE01,43,2023-07-03
352,PROD2352,STORE01,87,2023-12-26
353,PROD2353,STORE01,38,2023-09-21
354,PROD2354,STORE01,47,2023-09-27
355,PROD2355,STORE01,21,2023-01-17
356,PROD2356,STORE01,77,2023-11-01
357,PROD2357,STORE01,20,2023-08-25
358,PROD2358,STORE01,79,2023-07-28
359,PROD2359,STORE01,5,2024-06-29
360,PROD2360,STORE01,73,2023-01-10
361,PROD2361,STORE01,42,2023-01-15
362,PROD2362,STORE01,78,2023-04-16
363,PROD2363,STORE01,74,2023-06-15
364,PROD2364,STORE01,40,2024-06-28
365,PROD2365,STORE01,79,2023-12-10
366,PROD2366,STORE01,52,2023-02-16
367,PROD2367,STORE01,36,2024-04-27
368,PROD2368,STORE01,89,2023-08-06
369,PROD2369,STORE01,82,2023-01-09
370,PROD2370,STORE01,67,2023-03-25
371,PROD2371,STORE01,48,2023-07-27
372,PROD2372,STORE01,68,2024-03-22
373,PROD2373,STORE01,48,2023-06-20
374,PROD2374,STORE01,62,2024-03-11
375,PROD2375,STORE01,36,2024-02-18
376,PROD2376,STORE01,51,2023-08-21
377,PROD2377,STORE01,43,2024-05-25
378,PROD2378,STORE01,5,2023-11-12
379,PROD2379,STORE01,74,2023-11-08
380,PROD2380,STORE01,27,2023-02-03
381,PROD2381,STORE01,100,2024-06-16
382,PROD2382,STORE01,66,2024-04-13
383,PROD2383,STORE01,16,2024-02-28
384,PROD2384,STORE01,16,2023-10-10
385,PROD2385,STORE01,35,2023-08-22
386,PROD2386,STORE01,72,2023-09-28
387,PROD2387,STORE01,13,2023-03-17
388,PROD2388,STORE01,13,2024-06-27
389,PROD2389,STORE01,25,2023-02-03
390,PROD2390,STORE01,26,2023-02-26
391,PROD2391,STORE01,33,2024-06-15
392,PROD2392,STORE01,75,2023-11-22
393,PROD2393,STORE01,48,2024-04-24
394,PROD2394,STORE01,87,2024-02-28
395,PROD2395,STORE01,36,2023-08-20
396,PROD2396,STORE01,57,2024-01-28
397,PROD2397,STORE01,69,2024-04-16
398,PROD2398,STORE01,90,2024-05-29
399,PROD2399,STORE01,51,2024-02-10
400,PROD2400,STORE01,98,2023-11-06
401,PROD2401,STORE01,25,2024-01-16
402,PROD2402,STORE01,62,2024-03-13
403,PROD2403,STORE01,76,2024-04-28
404,PROD2404,STORE01,19,2024-04-19
405,PROD2405,STORE01,2,2023-12-18
406,PROD2406,STORE01,0,2023-12-20
407,PROD2407,STORE01,12,2023-11-02
408,PROD2408,STORE01,96,2024-02-15
409,PROD2409,STORE01,11,2024-02-11
410,PROD2410,STORE01,72,2024-04-12
411,PROD2411,STORE01,44,2023-02-09
412,PROD2412,STORE01,70,2024-03-04
413,PROD2413,STORE01,63,2024-06-19
414,PROD2414,STORE01,14,2024-01-07
415,PROD2415,STORE01,70,2023-08-19
416,PROD2416,STORE01,91,2024-04-01
417,PROD2417,STORE01,12,2023-01-24
418,PROD2418,STORE01,38,2023-06-28
419,PROD2419,STORE01,43,2023-09-19
420,PROD2420,STORE01,38,2023-03-18
421,PROD2421,STORE01,20,2024-06-27
422,PROD2422,STORE01,41,2023-08-05
423,PROD2423,STORE01,80,2024-04-03
424,PROD2424,STORE01,17,2023-01-09
425,PROD2425,STORE01,21,2023-10-13
426,PROD2426,STORE01,69,2023-01-27
427,PROD2427,STORE01,30,2023-05-28
428,PROD2428,STORE01,19,2024-01-19
429,PROD2429,STORE01,16,2023-10-08
430,PROD2430,STORE01,81,2024-02-06
431,PROD2431,STORE01,99,2023-05-11
432,PROD2432,STORE01,57,2024-05-18
433,PROD2433,STORE01,30,2024-01-25
434,PROD2434,STORE01,72,2024-06-13
435,PROD2435,STORE01,92,2023-08-03
436,PROD2436,STORE01,81,2023-12-19
